Symbol,Market Cap
ORLY,79552274432
OXY,36979470336
ODFL,32355723264
OMC,14861145088
ON,14803368960
OKE,51568791552
ORCL,371139837952
OTIS,38411616256
PCAR,47490871296
PKG,16991014912
PLTR,207681617920
PANW,111457902592
PARA,7652628992
PH,72799870976
PAYX,52858032128
PAYC,12204122112
PYPL,61916655616
PNR,13558884352
PEP,198058278912
PFE,124261474304
PCG,37184749568
PM,239528247296
PSX,39676211200
PNW,10957050880
PNC,60150046720
POOL,11740544000
PPG,22863194112
PPL,25674668032
PFG,16335216640
PG,391378894848
PGR,161590116352
PLD,89202999296
PRU,35028021248
PEG,40951799808
PTC,17485484032
PSA,49176399872
PHM,19055828992
PWR,39967526912
QCOM,154010501120
DGX,18199283712
RL,12224370688
RJF,27730470912
RTX,171238637568
O,49243488256
REG,12674036736
REGN,60585725952
RF,17176671232
RSG,76217434112
RMD,31428071424
RVTY,11397144576
ROK,25936685056
ROL,26785896448
ROP,60152778752
ROST,46533296128
RCL,51675455488
SPGI,142650540032
CRM,245054996480
SBAC,23677577216
SLB,46180843520
STX,14851247104
SRE,44532178944
NOW,162635251712
SHW,84701020160
SPG,55866363904
SWKS,8683130880
SJM,12337987584
SW,21296619520
SNA,17621293056
SOLV,11451069440
SO,98558451712
LUV,15030807552
SWK,9119287296
SBUX,97042497536
STT,22917013504
STLD,18049097728
STE,21722269696
SYK,133698019328
SMCI,19673896960
SYF,17933039616
SNPS,65127489536
SYY,34456469504
TMUS,295333920768
TROW,19720644608
TTWO,37429506048
TPR,13124751360
TRGP,35588202496
TGT,42268340224
TEL,38174265344
TDY,21770162176
TER,11845350400
TSLA,811333058560
TXN,134303907840
TPL,28411510784
TXT,11928866816
TMO,165398118400
TJX,143156363264
TKO,11772291072
TSCO,27468546048
TT,77562068992
TDG,73644122112
TRV,55536164864
TRMB,14310010880
TFC,46197747712
TYL,24507826176
TSN,21563983872
USB,58986258432
UBER,151156277248
UDR,14871762944
ULTA,16377571328
UNP,131004923904
UAL,21497382912
UPS,82278408192
URI,38082080768
UNH,548342366208
UHS,11437205504
VLO,34810830848
VTR,28936214528
VLTO,22230421504
VRSN,23378497536
VRSK,40847142912
VZ,187601698816
VRTX,124483756032
VTRS,9000422400
VICI,32810534912
V,643131965440
VST,37998936064
VMC,32008073216
WRB,25958017024
GWW,47882371072
WAB,29361862656
WBA,9321875456
WMT,743963688960
DIS,153463291904
WBD,19564435456
WM,92286918656
WAT,19349223424
WEC,34129758208
WFC,203887624192
WELL,92954640384
WST,15232072704
WDC,11965146112
WY,18726903808
WSM,18310209536
WMB,68834713600
WTW,31974776832
WDAY,60251660288
WYNN,7770362880
XEL,40064446464
XYL,26539640832
YUM,40384962560
ZBRA,11529745408
ZBH,20374097920
ZTS,66659356672
